device_id,agent_id,device_type
Feeder_1_capacity,,CD
Feeder_1_storage,,SD
device:6,agent:5,HC
device:7,agent:5,HW
device:8,agent:5,PV
device:9,agent:5,EV
device:10,agent:5,ES
device:12,agent:11,HC
device:13,agent:11,HW
device:14,agent:11,PV
device:15,agent:11,EV
device:16,agent:11,ES
device:18,agent:17,HC
device:19,agent:17,HW
device:20,agent:17,PV
device:21,agent:17,EV
device:22,agent:17,ES
device:24,agent:23,HC
device:25,agent:23,HW
device:26,agent:23,PV
device:27,agent:23,EV
device:28,agent:23,ES
device:30,agent:29,HC
device:31,agent:29,HW
device:32,agent:29,PV
device:33,agent:29,EV
device:34,agent:29,ES
device:36,agent:35,HC
device:37,agent:35,HW
device:38,agent:35,PV
device:39,agent:35,EV
device:40,agent:35,ES
device:42,agent:41,HC
device:43,agent:41,HW
device:44,agent:41,PV
device:45,agent:41,EV
device:46,agent:41,ES
device:48,agent:47,HC
device:49,agent:47,HW
device:50,agent:47,PV
device:51,agent:47,EV
device:52,agent:47,ES
device:54,agent:53,HC
device:55,agent:53,HW
device:56,agent:53,PV
device:57,agent:53,EV
device:58,agent:53,ES
device:60,agent:59,HC
device:61,agent:59,HW
device:62,agent:59,PV
device:63,agent:59,EV
device:64,agent:59,ES
device:66,agent:65,HC
device:67,agent:65,HW
device:68,agent:65,PV
device:69,agent:65,EV
device:70,agent:65,ES
device:72,agent:71,HC
device:73,agent:71,HW
device:74,agent:71,PV
device:75,agent:71,EV
device:76,agent:71,ES
device:78,agent:77,HC
device:79,agent:77,HW
device:80,agent:77,PV
device:81,agent:77,EV
device:82,agent:77,ES
device:84,agent:83,HC
device:85,agent:83,HW
device:86,agent:83,PV
device:87,agent:83,EV
device:88,agent:83,ES
device:90,agent:89,HC
device:91,agent:89,HW
device:92,agent:89,PV
device:93,agent:89,EV
device:94,agent:89,ES
device:96,agent:95,HC
device:97,agent:95,HW
device:98,agent:95,PV
device:99,agent:95,EV
device:100,agent:95,ES
device:102,agent:101,HC
device:103,agent:101,HW
device:104,agent:101,PV
device:105,agent:101,EV
device:106,agent:101,ES
device:108,agent:107,HC
device:109,agent:107,HW
device:110,agent:107,PV
device:111,agent:107,EV
device:112,agent:107,ES
device:114,agent:113,HC
device:115,agent:113,HW
device:116,agent:113,PV
device:117,agent:113,EV
device:118,agent:113,ES
device:120,agent:119,HC
device:121,agent:119,HW
device:122,agent:119,PV
device:123,agent:119,EV
device:124,agent:119,ES
device:126,agent:125,HC
device:127,agent:125,HW
device:128,agent:125,PV
device:129,agent:125,EV
device:130,agent:125,ES
device:132,agent:131,HC
device:133,agent:131,HW
device:134,agent:131,PV
device:135,agent:131,EV
device:136,agent:131,ES
device:138,agent:137,HC
device:139,agent:137,HW
device:140,agent:137,PV
device:141,agent:137,EV
device:142,agent:137,ES
device:144,agent:143,HC
device:145,agent:143,HW
device:146,agent:143,PV
device:147,agent:143,EV
device:148,agent:143,ES
device:150,agent:149,HC
device:151,agent:149,HW
device:152,agent:149,PV
device:153,agent:149,EV
device:154,agent:149,ES
Feeder_2_capacity,,CD
Feeder_2_storage,,SD
device:160,agent:159,HC
device:161,agent:159,HW
device:162,agent:159,PV
device:163,agent:159,EV
device:164,agent:159,ES
device:166,agent:165,HC
device:167,agent:165,HW
device:168,agent:165,PV
device:169,agent:165,EV
device:170,agent:165,ES
device:172,agent:171,HC
device:173,agent:171,HW
device:174,agent:171,PV
device:175,agent:171,EV
device:176,agent:171,ES
device:178,agent:177,HC
device:179,agent:177,HW
device:180,agent:177,PV
device:181,agent:177,EV
device:182,agent:177,ES
device:184,agent:183,HC
device:185,agent:183,HW
device:186,agent:183,PV
device:187,agent:183,EV
device:188,agent:183,ES
device:190,agent:189,HC
device:191,agent:189,HW
device:192,agent:189,PV
device:193,agent:189,EV
device:194,agent:189,ES
device:196,agent:195,HC
device:197,agent:195,HW
device:198,agent:195,PV
device:199,agent:195,EV
device:200,agent:195,ES
device:202,agent:201,HC
device:203,agent:201,HW
device:204,agent:201,PV
device:205,agent:201,EV
device:206,agent:201,ES
device:208,agent:207,HC
device:209,agent:207,HW
device:210,agent:207,PV
device:211,agent:207,EV
device:212,agent:207,ES
device:214,agent:213,HC
device:215,agent:213,HW
device:216,agent:213,PV
device:217,agent:213,EV
device:218,agent:213,ES
device:220,agent:219,HC
device:221,agent:219,HW
device:222,agent:219,PV
device:223,agent:219,EV
device:224,agent:219,ES
device:226,agent:225,HC
device:227,agent:225,HW
device:228,agent:225,PV
device:229,agent:225,EV
device:230,agent:225,ES
device:232,agent:231,HC
device:233,agent:231,HW
device:234,agent:231,PV
device:235,agent:231,EV
device:236,agent:231,ES
device:238,agent:237,HC
device:239,agent:237,HW
device:240,agent:237,PV
device:241,agent:237,EV
device:242,agent:237,ES
device:244,agent:243,HC
device:245,agent:243,HW
device:246,agent:243,PV
device:247,agent:243,EV
device:248,agent:243,ES
device:250,agent:249,HC
device:251,agent:249,HW
device:252,agent:249,PV
device:253,agent:249,EV
device:254,agent:249,ES
device:256,agent:255,HC
device:257,agent:255,HW
device:258,agent:255,PV
device:259,agent:255,EV
device:260,agent:255,ES
device:262,agent:261,HC
device:263,agent:261,HW
device:264,agent:261,PV
device:265,agent:261,EV
device:266,agent:261,ES
device:268,agent:267,HC
device:269,agent:267,HW
device:270,agent:267,PV
device:271,agent:267,EV
device:272,agent:267,ES
device:274,agent:273,HC
device:275,agent:273,HW
device:276,agent:273,PV
device:277,agent:273,EV
device:278,agent:273,ES
device:280,agent:279,HC
device:281,agent:279,HW
device:282,agent:279,PV
device:283,agent:279,EV
device:284,agent:279,ES
device:286,agent:285,HC
device:287,agent:285,HW
device:288,agent:285,PV
device:289,agent:285,EV
device:290,agent:285,ES
device:292,agent:291,HC
device:293,agent:291,HW
device:294,agent:291,PV
device:295,agent:291,EV
